country,year,BIPpk,Lebenserwartung,Fertilitätsrate,iso3c,region,income
Arab World,1963,,48.3204319602403,7.03503557094565,ARB,Aggregates,Aggregates
Arab World,1967,,50.6344153267842,7.02689312938435,ARB,Aggregates,Aggregates
Arab World,1964,,48.9100185353286,7.0456900983235,ARB,Aggregates,Aggregates
Arab World,1965,,49.496478440671,7.04904248033956,ARB,Aggregates,Aggregates
Arab World,1966,,50.0729468330093,7.04258978188781,ARB,Aggregates,Aggregates
Arab World,1972,,53.4068873108735,6.82007923408771,ARB,Aggregates,Aggregates
Arab World,1968,,51.1820996955101,7.00219253150259,ARB,Aggregates,Aggregates
Arab World,1969,,51.7220236090613,6.96788376835781,ARB,Aggregates,Aggregates
Arab World,1974,,54.6428665845491,6.70526956787185,ARB,Aggregates,Aggregates
Arab World,1975,,55.2779884570801,6.64757894688004,ARB,Aggregates,Aggregates
Arab World,1976,,55.9096123217709,6.5902033623791,ARB,Aggregates,Aggregates
Arab World,1977,,56.5280764080552,6.53215721019737,ARB,Aggregates,Aggregates
Arab World,1978,,57.133900247461,6.47196707836982,ARB,Aggregates,Aggregates
Arab World,1979,,57.7348595287564,6.40725941984472,ARB,Aggregates,Aggregates
Arab World,1980,,58.3450234343121,6.33706403838669,ARB,Aggregates,Aggregates
Arab World,1981,,58.9773593187182,6.26035914127949,ARB,Aggregates,Aggregates
Arab World,1982,,59.6359973153822,6.17498398526048,ARB,Aggregates,Aggregates
Arab World,1970,,52.2642104338812,6.92498149236035,ARB,Aggregates,Aggregates
Arab World,1971,,52.8229318031927,6.87484159254756,ARB,Aggregates,Aggregates
Arab World,2011,14516.4307767852,70.5287748030398,3.46310013935744,ARB,Aggregates,Aggregates
Arab World,1973,,54.0158543893538,6.7631208308535,ARB,Aggregates,Aggregates
Arab World,1960,,46.5469088857838,6.97725613035733,ARB,Aggregates,Aggregates
Arab World,1961,,47.1416208779016,6.99863481745479,ARB,Aggregates,Aggregates
Arab World,1962,,47.731783324992,7.01872481687206,ARB,Aggregates,Aggregates
Arab World,2001,11784.1055825797,68.0725185170594,3.76043680814774,ARB,Aggregates,Aggregates
Arab World,2002,11598.051846946,68.3402459940492,3.68728067960491,ARB,Aggregates,Aggregates
Arab World,2003,11853.147130607,68.6105053811856,3.62645989795249,ARB,Aggregates,Aggregates
Arab World,2004,12659.4505713988,68.8861877240216,3.57613550404844,ARB,Aggregates,Aggregates
Arab World,2005,13069.8964200336,69.1646828025353,3.53757587348349,ARB,Aggregates,Aggregates
Arab World,2006,13552.4967147082,69.4394591943507,3.50894817906413,ARB,Aggregates,Aggregates
Arab World,2007,13833.6990987929,69.7015546491534,3.49109374947528,ARB,Aggregates,Aggregates
Arab World,2008,14295.2533392211,69.9421742706232,3.48070056871876,ARB,Aggregates,Aggregates
Arab World,2009,14085.3117487584,70.1575600376968,3.4750244511131,ARB,Aggregates,Aggregates
Arab World,2010,14420.6078655798,70.349916226204,3.47038387969507,ARB,Aggregates,Aggregates
Arab World,1984,,61.0037610987495,5.97799608184239,ARB,Aggregates,Aggregates
Arab World,2012,15130.4989643751,70.7038265981398,3.45065363473473,ARB,Aggregates,Aggregates
Arab World,2013,15256.0253485288,70.8822537420776,3.43046377914818,ARB,Aggregates,Aggregates
Arab World,2014,15285.0459685827,71.0642924303822,3.40205868806614,ARB,Aggregates,Aggregates
Arab World,2015,15450.3176183198,71.249571410287,3.36522109156331,ARB,Aggregates,Aggregates
Arab World,2016,15663.2433817609,71.4364968350268,3.32246533909526,ARB,Aggregates,Aggregates
Arab World,2017,15544.7798823619,71.6225263276687,3.27655324685682,ARB,Aggregates,Aggregates
Arab World,2018,15606.9855172012,,,ARB,Aggregates,Aggregates
Arab World,2019,,,,ARB,Aggregates,Aggregates
Arab World,1993,10614.3820883427,65.4149073470161,4.75005276796608,ARB,Aggregates,Aggregates
