state,year,names,plate,region,region.name,price,income,pop,intrate
1,1975,Alabama,AL,5,Plains,105.272801,6.45187449,3680533,0.260288842
1,1976,Alabama,AL,5,Plains,106.4974334,6.831537223,3737204,3.87549223
1,1977,Alabama,AL,5,Plains,110.7235469,7.005341738,3782736,1.972190671
1,1978,Alabama,AL,5,Plains,112.6930397,7.266446883,3834120,1.758621169
1,1979,Alabama,AL,5,Plains,109.4693892,7.23810642,3869444,-0.200168218
1,1980,Alabama,AL,5,Plains,100,6.965638883,3900368,-1.077357863
1,1981,Alabama,AL,5,Plains,91.53388835,6.852658626,3918533,2.544852738
1,1982,Alabama,AL,5,Plains,87.2085339,6.872444633,3925263,7.555623685
1,1983,Alabama,AL,5,Plains,88.97224453,7.046416581,3934100,8.059517056
1,1984,Alabama,AL,5,Plains,89.31524422,7.50604123,3951824,8.590937778
1,1985,Alabama,AL,5,Plains,87.64867404,7.633414688,3972520,6.865527993
1,1986,Alabama,AL,5,Plains,90.01606731,7.793119526,3991569,6.035536935
1,1987,Alabama,AL,5,Plains,90.70236031,7.870867328,4015262,5.615005508
1,1988,Alabama,AL,5,Plains,89.9563307,8.194961519,4023842,6.417174038
1,1989,Alabama,AL,5,Plains,87.21551588,8.447457803,4030219,4.63109564
1,1990,Alabama,AL,5,Plains,85.13522635,8.564869857,4050055,4.976530147
1,1991,Alabama,AL,5,Plains,85.08661916,8.694013428,4099156,5.629895459
1,1992,Alabama,AL,5,Plains,86.80823576,9.03167364,4154014,6.244899503
1,1993,Alabama,AL,5,Plains,87.41058417,8.926625619,4214202,3.742406371
1,1994,Alabama,AL,5,Plains,88.49776169,9.106445363,4260229,5.687324152
1,1995,Alabama,AL,5,Plains,89.57070493,9.229498018,4296800,4.767231838
1,1996,Alabama,AL,5,Plains,90.21707553,9.18381911,4331102,4.045302577
1,1997,Alabama,AL,5,Plains,91.83234163,9.363211157,4367935,5.419760021
1,1998,Alabama,AL,5,Plains,95.29191393,9.713487394,4404701,5.094590997
1,1999,Alabama,AL,5,Plains,95.58230622,9.791283357,4430141,4.83298801
1,2000,Alabama,AL,5,Plains,94.69632497,9.907968746,4451601,4.163598192
1,2001,Alabama,AL,5,Plains,96.96178566,10.04509853,4466440,3.852692156
1,2002,Alabama,AL,5,Plains,98.84450604,10.33032208,4478896,5.362986522
1,2003,Alabama,AL,5,Plains,101.5329267,10.63145472,4500752,4.223756483
4,1975,Arizona,AZ,6,Southwest,95.60902989,8.415030971,2286348,-0.181349014
4,1976,Arizona,AZ,6,Southwest,92.74573959,8.627842292,2347976,2.520109171
4,1977,Arizona,AZ,6,Southwest,94.44761034,8.773314995,2427310,1.694153736
4,1978,Arizona,AZ,6,Southwest,100.5091867,8.992499079,2517852,-0.839807572
4,1979,Arizona,AZ,6,Southwest,105.2790833,8.677496205,2638582,-5.544296988
4,1980,Arizona,AZ,6,Southwest,100,8.457841663,2737774,-2.245885773
4,1981,Arizona,AZ,6,Southwest,95.50824187,8.252811991,2810108,1.528653714
4,1982,Arizona,AZ,6,Southwest,87.86502314,7.979949202,2889860,7.236580819
4,1983,Arizona,AZ,6,Southwest,91.88425007,8.351589637,2968924,9.172617229
4,1984,Arizona,AZ,6,Southwest,89.44027982,8.732435704,3067134,7.0157746
4,1985,Arizona,AZ,6,Southwest,89.08748498,8.810038342,3183539,6.167697229
4,1986,Arizona,AZ,6,Southwest,91.48388184,8.990338168,3308261,6.251562942
