model,mean_estimate,sd_estimate,rmse,mean_deviation,pi_value
Between_fe,3.39185752501951,48.8456547474107,48.855369962245,2.39185752501951,0
Between_tfe,0.924340978818276,1.31923102403948,1.32008107375451,-0.0756590211817239,0
FD,1.00111553484543,0.272891701948023,0.272620955995858,0.00111553484543236,0
GLS_fe,1.00350613619074,0.142617211159602,0.142517657053758,0.00350613619074447,0
GLS_tfe,1.01658118155223,0.270938022438423,0.271174358597021,0.0165811815522323,0
GLS_twow,1.00372756020812,0.142929384442349,0.14283503080232,0.00372756020811527,0
POLS,1.01658447930801,0.270900546821402,0.271137192228429,0.0165844793080092,0
Within_fe,1.00018599502843,0.147646163900465,0.147498561109065,0.000185995028426422,0
Within_tfe,1.01750613695236,0.273621271836483,0.273907517296635,0.0175061369523581,0
Within_twow,1.00192279250971,0.150802542452089,0.150663934395161,0.00192279250970628,0
Between_fe,1.33173933147523,5.54526712965275,5.54964310097293,0.331739331475225,0.25
Between_tfe,1.01181519571601,1.01590910866199,1.01496146393747,0.0118151957160102,0.25
FD,0.995010031211942,0.174419950042731,0.174316878481313,-0.00498996878805846,0.25
GLS_fe,1.51497805358262,0.0550999958100627,0.517911510965852,0.514978053582616,0.25
GLS_tfe,1.60878304740722,0.0417192221449967,0.610208006600874,0.60878304740722,0.25
GLS_twow,1.51552656984958,0.0549021186691876,0.518435973259925,0.515526569849576,0.25
POLS,1.60856461202759,0.041731440487376,0.609990915597264,0.608564612027587,0.25
Within_fe,0.999069692890706,0.0683062376845142,0.0682442385386322,-0.000930307109293982,0.25
Within_tfe,1.61150860601143,0.0415443901030734,0.612915377276815,0.61150860601143,0.25
Within_twow,1.0001022835031,0.0688628737264472,0.0687940524247837,0.000102283503099043,0.25
Between_fe,0.0264496192352931,32.6622343489835,32.6440761839949,-0.973550380764707,0.5
Between_tfe,0.992826442675793,0.761842918392414,0.761114500561344,-0.00717355732420688,0.5
FD,1.00510550800145,0.0913382806235793,0.0913896184268763,0.00510550800144971,0.5
GLS_fe,1.31711297332116,0.0219062167511965,0.317867205631965,0.317112973321163,0.5
GLS_tfe,1.33191229575332,0.0182032771910273,0.332410091083487,0.331912295753321,0.5
GLS_twow,1.3172816236689,0.0218421534043475,0.318031058583877,0.317281623668899,0.5
POLS,1.3318232351674,0.0182028464855264,0.332321140359585,0.3318232351674,0.5
Within_fe,0.999697344242712,0.0380035214755644,0.0379667052792577,-0.000302655757287718,0.5
Within_tfe,1.33309038017061,0.0181389187578748,0.333582918770073,0.333090380170613,0.5
Within_twow,1.00006950520757,0.0387208537127837,0.0386821759237531,6.95052075652125e-05,0.5
Between_fe,1.39496718249094,2.10483766971141,2.13950461739379,0.394967182490942,0.75
Between_tfe,0.982665038870667,0.605845321589912,0.605487371843835,-0.0173349611293329,0.75
FD,0.999179950270392,0.0538195202754981,0.0537719272736101,-0.000820049729607919,0.75
GLS_fe,1.21845172165635,0.0137693323764061,0.218884375914971,0.218451721656348,0.75
GLS_tfe,1.22486612255021,0.0118215889788527,0.225176027891115,0.224866122550213,0.75
GLS_twow,1.21857966170812,0.0137627991310687,0.219011653395613,0.218579661708123,0.75
POLS,1.22477418253345,0.0118160339064491,0.22508392335648,0.224774182533453,0.75
Within_fe,0.998354630410181,0.0260421813319232,0.0260681042501142,-0.00164536958981942,0.75
Within_tfe,1.2257336612519,0.0117301720488245,0.226037624223515,0.225733661251903,0.75
Within_twow,0.998801048406797,0.0263372750911842,0.0263382277314382,-0.00119895159320293,0.75
Between_fe,1.15391610286353,3.45763697658303,3.45760511360555,0.153916102863527,1
Between_tfe,0.956735532967618,0.595468248084336,0.596443697020323,-0.043264467032382,1
FD,1.00075753003629,0.0369677108563624,0.0369384931260545,0.0007575300362892,1
GLS_fe,1.1662538929205,0.00994800000350486,0.166550658028968,0.166253892920499,1
GLS_tfe,1.16999757825377,0.00882448766433889,0.170226004040275,0.16999757825377,1
GLS_twow,1.16635773233623,0.00997442204704157,0.166655888659942,0.16635773233623,1
POLS,1.1699373066996,0.00880671359351655,0.170164894429559,0.169937306699598,1
Within_fe,0.999150578891878,0.0199586785905855,0.0199567950733341,-0.000849421108121584,1
Within_tfe,1.1706273431877,0.00882972124854863,0.170855196855887,0.170627343187695,1
Within_twow,0.999373444327614,0.0202007294765521,0.0201902428032124,-0.000626555672385898,1
